ITEM,Carton-Type,N.W,G.W,L,W,H,Over 40lbs,Carton/PLT,PLT-WEIGHT,Qty/HSU,HSU/Carton,Carton/Pallet
840049,03CTN2419A,22.1,24.1,57,53,65,H,12,289.2,6,12,12
840051,03CTN2419A,24.6,26.5,57,53,65,H,12,318,6,12,12
840052,03CTN2419A,24.6,26.5,57,53,65,H,12,318,6,12,12
840054,03CTN2419A,23,24.9,57,53,65,H,12,298.8,6,12,12
840056,03CTN2419A,23,24.9,57,53,65,H,12,298.8,6,12,12
840058,03CTN2419A,23,24.9,57,53,65,H,12,298.8,6,12,12
840062,03CTN2419A,22.3,24.3,57,53,65,H,12,291.6,6,12,12
842228,03CTN2419A,28.8,30.7,57,53,65,H,12,368.4,6,25,12
842232,03CTN2419A,28.7,30.7,57,53,65,H,12,368.4,6,25,12
843307,03CTN2419A,17.7,19.7,57,53,65,H,12,236.4,6,12,12
843315,03CTN2419A,28.7,30.7,57,53,65,H,12,368.4,6,25,12
843316,03CTN2419A,28.7,30.7,57,53,65,H,12,368.4,6,25,12
843365,03CTN24209,7.3,8.6,63,50,27,-,8,68.8,6,20,8
843442,03CTN843442,2.5,3.5,93,62,7,-,42,147,6,1,42
844383,03CTN2419A,28.7,30.7,57,53,65,H,12,368.4,6,25,12
844496,03CTN2419A,22.6,24.5,57,53,65,H,12,294,6,12,12
847194,03CTN2419A,23.5,25.4,57,53,65,H,12,304.8,6,18,12
847346,03CTN2419A,24.6,26.5,57,53,65,H,12,318,6,20,12
847348,03CTN2419A,24.6,26.5,57,53,65,H,12,318,6,20,12
847350,03CTN2419A,24.6,26.5,57,53,65,H,12,318,6,20,12
847351,03CTN2419A,24.6,26.5,57,53,65,H,12,318,6,20,12
847352,03CTN2419A,24.6,26.5,57,53,65,H,12,318,6,20,12
847353,03CTN2419A,24.6,26.5,57,53,65,H,12,318,6,20,12
847356,03CTN24209,11.9,13.2,63,50,27,-,8,105.6,6,20,8
847357,03CTN24209,12,13.3,63,50,27,-,8,106.4,6,20,8
847364,03CTN2419A,24.6,26.5,57,53,65,H,12,318,6,20,12
847365,03CTN2419A,24.6,26.5,57,53,65,H,12,318,6,20,12
847366,03CTN2419A,24.6,26.5,57,53,65,H,12,318,6,20,12
848700,03CTN6180R,1.8,2.3,44,32,13,-,36,82.8,6,12,36
848703,03CTN6180R,1.8,2.3,44,32,13,-,36,82.8,6,12,36
848705,03CTN6180R,1.8,2.3,44,32,13,-,36,82.8,6,12,36
848715,03CTN18X16X10,4.1,5,46,40,25,-,40,200,6,14,40
848718,03CTN18X16X10,4.1,5,46,40,25,-,40,200,6,14,40
848719,03CTN18X16X10,4.1,5,46,40,25,-,40,200,6,14,40
848722,03CTN18X16X10,4.1,5,46,40,25,-,40,200,6,14,40
848723,03CTN18X16X10,4.1,5,46,40,25,-,40,200,6,14,40
848729,03CTN18X16X10,4.1,5,46,40,25,-,40,200,6,14,40
848891,03CTN2419A,24.6,26.5,57,53,65,H,12,318,6,18,12
849353,03CTN2419A,24.6,26.5,57,53,65,H,12,318,3,40,12
845705,03CTNC76,10.7,11.2,22,31.5,24,-,45,504,6,75,45
845686,03CTNC76,10.7,11.2,22,31.5,24,-,45,504,6,75,45
841136,03CTN6150FOL,3.5,4,31,23,7,-,70,280,6,24,70
839916,03CTNC76,10.7,11.2,22,31.5,24,-,45,504,6,75,45
841118,03CTN6150FOL,3.5,4,31,23,7,-,70,280,6,24,70
841134,03CTN6150FOL,3.5,4,31,23,7,-,70,280,6,24,70
841138,03CTN6150FOL,3.5,4,31,23,7,-,70,280,6,24,70
839932,03CTNC76,10.7,11.2,22,31.5,24,-,45,504,6,75,45
839888,03CTNC76,10.7,11.2,22,31.5,24,-,45,504,6,75,45
839892,03CTNC76,10.7,11.2,22,31.5,24,-,45,504,6,75,45
839894,03CTNC76,10.7,11.2,22,31.5,24,-,45,504,6,75,45
839896,03CTNC76,10.7,11.2,22,31.5,24,-,45,504,6,75,45
839898,03CTNC76,10.7,11.2,22,31.5,24,-,45,504,6,75,45
